grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,10/11,art,Utiliza la forma y el color de manera intencional en la representación de personajes ficticios.,5,art,santillana,,"16, 17, 180 y 181",,,,,,,,,,
5,10/11,es,"Planea el procedimiento para resolver un problema, anticipa retos y soluciones del mismo.",,,,,,5,es,socio,,22 y 23,,,,,
5,10/11,cn,"Explica los daños en los sistemas respiratorio, nervioso y circulatorio generados por el consumo de sustancias adictivas, como tabaco, inhalables y bebidas alcohólicas.",5,cn,santillana,,94 a 97,,,,,,5,cn,sep,,27 a 33
5,10/11,geo,"Compara la distribución de las principales formas del relieve, regiones sísmicas y volcánicas en los continentes.",5,geo,santillana,,116 y 117,,,,,,5,geo,sep,,41 a 47
5,10/11,vs,"Diseña menús para incrementar en su refrigerio escolar, el consumo de agua simple potable, frutas, verduras, cereales enteros e integrales, leguminosas y pescado, con base en una guía alimentaria.",5,vs,vidasaludable,"https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html
",307,,,,,,,,,,
5,10/12,mat,Conocimiento y uso de las relaciones entre los elementos de la división de números naturales.,5,mat,santillana,,58 y 59,5,mat,detectives,,9,5,mat,sep,,16 a 18
5,10/12,mat,Conocimiento y uso de las relaciones entre los elementos de la división de números naturales.,5,mat,santillana,,58 y 59,5,mat,detectives,,9,5,mat,sep,,16 a 18
5,10/12,esp,Comprende la función de fábulas y refranes. Interpreta el significado de fábulas y refranes.,5,esp,santillana,,24 a 27,,,,,,5,esp,sep,,21 a 24
5,10/12,hist,Describe la situación económica y las diferentes formas de gobierno que se proponían para la nación mexicana en las primeras décadas de vida independiente.,5,hist,santillana,,124 y 125,,,,,,5,hist,sep,,18 a 20
5,10/12,ef,"Integra sus habilidades motrices en retos y situaciones de juego e iniciación deportiva, con la intención de reconocer sus límites, posibilidades y potencialidades.",5,ef,santillana,,178 y 179,,,,,,,,,,
5,10/13,geo,"Compara la distribución de las principales formas del relieve, regiones sísmicas y volcánicas en los continentes.",5,geo,santillana,,116 y 117,,,,,,5,geo,sep,,41 a 47
5,10/13,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60 a 63,5,mat,detectives,,10 y 11,5,mat,sep,,19 a 23
5,10/13,fcye,"Explica situaciones que pueden afectar su dignidad e integridad personal y sus derechos, se apoya en otras personas e instituciones para protegerse y defenderse.",5,fcye,santillana,,142 y 143,,,,,,5,fcye,sep,,10 a 19
5,10/13,esp,"Identifica las características de las fábulas, y sus semejanzas y diferencias con los refranes. Comprende la función de fábulas y refranes. Interpreta el significado de fábulas y refranes.",5,esp,santillana,,24 a 27,,,,,,5,esp,sep,,21 a 24
5,10/13,ced,"Explica situaciones que pueden afectar su dignidad e integridad personal y sus derechos, se apoya en otras personas e instituciones para protegerse y defenderse.",5,ced,santillana,,142 y 143,,,,,,5,fcye,sep,,10 a 19
5,10/14,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60 a 63,5,mat,detectives,,10 y 11,5,mat,sep,,19 a 23
5,10/14,hist,Describe la situación económica y las diferentes formas de gobierno que se proponían para la nación mexicana en las primeras décadas de vida independiente.,5,hist,santillana,,126 y 127,,,,,,5,hist,sep,,21 a 24
5,10/14,esp,"Identifica las características de las fábulas, y sus semejanzas y diferencias con los refranes. Comprende la función de fábulas y refranes. Interpreta el significado de fábulas y refranes.",5,esp,santillana,,24 a 27,,,,,,5,esp,sep,,21 a 24
5,10/14,art,Ensaya la pieza teatral seleccionada para mejorar su ejecución.,5,art,santillana,,"334, 335, 464 y 465",,,,,,,,,,
5,10/14,ef,"Integra sus habilidades motrices en retos y situaciones de juego e iniciación deportiva, con la intención de reconocer sus límites, posibilidades y potencialidades.",5,ef,santillana,,178 y 179,,,,,,,,,,
5,10/15,lmb,"Es capaz de explicar la función social y el valor de la práctica, su estructura, participantes y simbolismos de objetos, acciones, gestos. Advierte los saberes sobre su cosmovisión.",,,,,,,,,,,,,,,
5,10/15,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60 a 63,5,mat,detectives,,10 y 11,5,mat,sep,,19 a 23
5,10/15,ing,Interpreta expresiones usadas por interlocutores.,,,,,,,,,,,,,,,
5,10/15,es,Describe beneficios de regular las emociones para evitar reacciones impulsivas o conductas de represión de la emoción.,,,,,,5,es,socio,,18 y 19,,,,,
5,10/15,vs,"Participa en la promoción de hábitos de higiene y limpieza en su familia, escuela y comunidad.",5,vs,vidasaludable,"https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e3-gen/index.html
",160,,,,,,,,,,
