grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
3,10/04,es,Reconoce cuándo las emociones ayudan a aprender y a estar bien y cuándo dañan las relaciones y dificultan el aprendizaje.,,,,,,3,es,socio,,30 y 31,,,,,
3,10/04,art,Crea secuencias de movimiento y formas a partir de estímulos sonoros.,2,art,santillana,,"156, 157, 292 y 293",,,,,,,,,,
3,10/04,cn,Argumenta la importancia del consumo diario de alimentos de los tres grupos representados en el Plato del Bien Comer y de agua simple potable para el crecimiento y el buen funcionamiento del cuerpo.,3,cn,santillana,,92 y 93,,,,,,3,cn,sep,,34 a 37
3,10/04,lm,Emplea verbos en infinitivo e imperativo para dar indicaciones de manera semejante a la convencional.,2,lm,santillana,,36 y 37,,,,,,2,lm,sep,,42
3,10/04,vs,Consciencia de sí para la adquisición de estilos de vida saludable.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e1-gen/index.html,268 y 269,,,,,,,,,,
3,10/05,lm,Emplea ortografía convencional a partir de modelos.,2,lm,santillana,,"30, 31, 40 y 41",,,,,,2,lm,sep,,38 y 45
3,10/05,mat,"Uso de la descomposición de números en unidades, decenas, centenas y unidades de millar para resolver diversos problemas.",3,mat,santillana,,48 y 49,3,mat,detectives,,7,3,mat,sep,,10 a 14
3,10/05,fcye,"Reconoce las capacidades y potencialidades personales que le dotan de singularidad, y que le ayudan a actuar con responsabilidad ante los retos de su entorno.",3,fcye,santillana,,120 y 121,,,,,,3,fcye,sep,,10 a 19
3,10/05,cn,"Explica la interacción de los sistemas digestivo, circulatorio y excretor en la nutrición.",3,cn,santillana,,88 y 89,,,,,,3,cn,sep,,28 y 29
3,10/05,ef,"Explora sus habilidades motrices al participar en situaciones que implican desplazamientos y manejo de diferentes objetos, para adaptarlas a las condiciones que se presentan.",3,ef,santillana,,156 y 157,,,,,,,,,,
3,10/06,mat,"Desarrollo de procedimientos mentales de resta de dígitos y múltiplos de 10 menos un dígito, etc., que faciliten los cálculos de operaciones más complejas.",3,mat,santillana,,50 a 53,3,mat,detectives,,8 y 9,3,mat,sep,,15 a 17
3,10/06,art,"Observa distintas manifestaciones artísticas plásticas y visuales en formato bidimensional, para reconocer sus semejanzas y diferencias.",3,art,santillana,,"16, 17, 158 y 159",,,,,,,,,,
3,10/06,cn,"Explica la interacción de los sistemas digestivo, circulatorio y excretor en la nutrición.",3,cn,santillana,,88 y 89,,,,,,3,cn,sep,,28 y 29
3,10/06,lm,"Participa en la realización de tareas conjuntas: proporciona ideas, colabora con otros y cumple con los acuerdos establecidos en el grupo.",,,,,,,,,,,,,,,
3,10/06,ced,"Reconoce las capacidades y potencialidades personales que le dotan de singularidad, y que le ayudan a actuar con responsabilidad ante los retos de su entorno.",3,ced,santillana,,120 y 121,,,,,,3,fcye,sep,,10 a 19
3,10/07,cn,"Explica la interacción de los sistemas digestivo, circulatorio y excretor en la nutrición.",3,cn,santillana,,88 y 89,,,,,,3,cn,sep,,28 y 29
3,10/07,mat,"Desarrollo de procedimientos mentales de resta de dígitos y múltiplos de 10 menos un dígito, etc., que faciliten los cálculos de operaciones más complejas.",3,mat,santillana,,50 a 53,3,mat,detectives,,8 y 9,3,mat,sep,,15 a 17
3,10/07,lmb,Identifica el uso de oraciones impersonales en los reglamentos y las emplea al redactar reglas.,2,lmb,santillana,,36 y 37,,,,,,2,lm,sep,,42
3,10/07,art,"Observa distintas manifestaciones artísticas plásticas y visuales en formato bidimensional, para reconocer sus semejanzas y diferencias.",3,art,santillana,,"16, 17, 158 y 159",,,,,,,,,,
3,10/07,ef,"Explora sus habilidades motrices al participar en situaciones que implican desplazamientos y manejo de diferentes objetos, para adaptarlas a las condiciones que se presentan.",3,ef,santillana,,156 y 157,,,,,,,,,,
3,10/08,mat,"Desarrollo de procedimientos mentales de resta de dígitos y múltiplos de 10 menos un dígito, etc., que faciliten los cálculos de operaciones más complejas.",3,mat,santillana,,50 a 53,3,mat,detectives,,8 y 9,3,mat,sep,,15 a 17
3,10/08,ing,Explora anuncios y avisos de espacios públicos.,,,,,,,,,,,,,,,
3,10/08,art,"Observa distintas manifestaciones artísticas plásticas y visuales en formato bidimensional, para reconocer sus semejanzas y diferencias.",3,art,santillana,,"16, 17, 158 y 159",,,,,,,,,,
3,10/08,es,"Muestra aprecio por la vida al reconocer, disfrutar y expresar aprecio por el hecho de estar vivo, tener un cuerpo y capacidades para aprender.",,,,,,3,es,socio,,28 y 29,,,,,
3,10/08,vs,Consciencia de sí para la adquisición de estilos de vida saludable.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvspat3e3-gen/index.html,268 y 269,,,,,,,,,,
