grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,10/25,art,Ensaya la pieza teatral seleccionada para mejorar su ejecución.,5,art,santillana,,"16, 17, 180 y 181",,,,,,,,,,
5,10/25,es,Valora cómo sus decisiones y acciones afectan a otros.,,,,,,5,es,socio,,48 y 49,,,,,
5,10/25,cn,"Explica la periodicidad, la duración, los cambios en el cuerpo y el periodo fértil del ciclo menstrual, así como su relación con la concepción y la prevención de embarazos.",5,cn,santillana,,98 y 99,,,,,,5,cn,sep,,35 a 43
5,10/25,geo,"Distingue la importancia de la distribución de los principales ríos, lagos y lagunas de los continentes.",5,geo,santillana,,118 y 119,,,,,,5,geo,sep,,49 a 53
5,10/25,vs,Evalúa los factores que le impiden la práctica constante de actividades físicas y las opciones que tiene para superar dificultades.,5,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn1_t1/index.html,159,,,,,,,,,,
5,10/26,mat,Lectura de planos y mapas viales. Interpretación y diseño de trayectorias.,5,mat,santillana,,64 y 65,5,mat,detectives,,12,5,mat,sep,,24 a 28
5,10/26,cn,"Explica la periodicidad, la duración, los cambios en el cuerpo y el periodo fértil del ciclo menstrual, así como su relación con la concepción y la prevención de embarazos.",5,cn,santillana,,98 y 99,,,,,,5,cn,sep,,35 a 43
5,10/26,esp,Utiliza la información relevante de los textos que lee en la producción de los propios.,5,esp,santillana,,36 a 38,,,,,,5,esp,sep,,39 y 40
5,10/26,hist,Reconoce las causas y consecuencias de la separación de Texas y de la guerra con Estados Unidos.,5,hist,santillana,,128 y 129,,,,,,5,hist,sep,,25 a 31
5,10/26,ef,"Integra sus habilidades motrices en retos y situaciones de juego e iniciación deportiva, con la intención de reconocer sus límites, posibilidades y potencialidades.",5,ef,santillana,,178 y 179,,,,,,,,,,
5,10/27,geo,"Distingue la importancia de la distribución de los principales ríos, lagos y lagunas de los continentes.",5,geo,santillana,,118 y 119,,,,,,5,geo,sep,,49 a 53
5,10/27,mat,Lectura de planos y mapas viales. Interpretación y diseño de trayectorias.,5,mat,santillana,,64 y 65,5,mat,detectives,,12,5,mat,sep,,24 a 28
5,10/27,fcye,"Ejerce su derecho a ser protegido contra cualquier forma de maltrato, abuso o explotación de tipo sexual, laboral o acoso presencial o en las redes sociales.",5,fcye,santillana,,146 y 147,,,,,,5,fcye,sep,,20 a 25
5,10/27,esp,Emplea referencias bibliográficas para ubicar fuentes de consulta.,5,esp,santillana,,44 y 45,,,,,,5,esp,sep,,"43, 47 y 48"
5,10/27,ced,"Ejerce su derecho a ser protegido contra cualquier forma de maltrato, abuso o explotación de tipo sexual, laboral o acoso presencial o en las redes sociales.",5,ced,santillana,,146 y 147,,,,,,5,fcye,sep,,26 a 30
5,10/28,mat,Lectura de planos y mapas viales. Interpretación y diseño de trayectorias.,5,mat,santillana,,64 y 65,5,mat,detectives,,12,5,mat,sep,,24 a 28
5,10/28,hist,Reconoce las causas y consecuencias de la separación de Texas y de la guerra con Estados Unidos.,5,hist,santillana,,128 y 129,,,,,,5,hist,sep,,25 a 31
5,10/28,esp,Utiliza la información relevante de los textos que lee en la producción de los propios.,5,esp,santillana,,36 a 38,,,,,,5,esp,sep,,39 y 40
5,10/28,art,Ensaya la pieza teatral seleccionada para mejorar su ejecución.,5,art,santillana,,"334, 335, 464 y 465",,,,,,,,,,
5,10/28,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
5,10/29,mat,Resolución de problemas que impliquen sumar o restar fracciones cuyos denominadores son múltiplos uno de otro.,5,mat,santillana,,54 y 55,5,mat,detectives,,7,5,mat,sep,,10 a 12
5,10/29,mat,Resolución de problemas que impliquen sumar o restar fracciones cuyos denominadores son múltiplos uno de otro.,5,mat,santillana,,54 y 55,5,mat,detectives,,7,5,mat,sep,,10 a 12
5,10/29,mat,Resolución de problemas que impliquen sumar o restar fracciones cuyos denominadores son múltiplos uno de otro.,5,mat,santillana,,54 y 55,5,mat,detectives,,7,5,mat,sep,,10 a 12
5,10/29,mat,Resolución de problemas que impliquen sumar o restar fracciones cuyos denominadores son múltiplos uno de otro.,5,mat,santillana,,54 y 55,5,mat,detectives,,7,5,mat,sep,,10 a 12
5,10/29,vs,"Participa en la promoción de hábitos de higiene y limpieza en su familia, escuela y comunidad.",5,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e3-gen/index.html,160,,,,,,,,,,
