grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
4,10/25,vs,Valora sus logros para afrontar nuevos retos en el juego y la actividad física.,4,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn1_t1/index.html,143,,,,,,,,,,
4,10/25,fcye,"Valora que es una persona con dignidad, que ejerce sus derechos y promueve el respeto y aprecio a la identidad, la dignidad y los derechos de las demás personas.",4,fcye,santillana,,132 y 133,,,,,,4,fcye,sep,,25 a 27
4,10/25,es,Analiza y dialoga sobre necesidades de su entorno inmediato que pueden mejorar.,,,,,,4,es,socio,,24 y 25,,,,,
4,10/25,cn,"Valora las vacunas como aportes de la ciencia y del desarrollo técnico para prevenir enfermedades, así como de la Cartilla Nacional de Salud para dar seguimiento a su estado de salud.",4,cn,santillana,,80,,,,,,4,cn,sep,,28 a 31
4,10/25,art,Compara piezas artísticas tridimensionales e identifica sus características.,4,art,santillana,,164 y 165,,,,,,,,,,
4,10/26,ef,"Combina distintas habilidades motrices en retos, individuales y cooperativos, con el fin de tomar decisiones y mejorar su actuación.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,10/26,hist,Distingue las características y reconoce los aportes de las culturas mesoamericanas y su relación con la naturaleza.,4,hist,santillana,,116 y 117,,,,,,4,hist,sep,,44 a 49
4,10/26,mat,Resolución de sumas o restas de números decimales en el contexto del dinero. Análisis de expresiones equivalentes.,4,mat,santillana,,54 y 55,4,mat,detectives,,11 y 12,4,mat,sep,,26 a 29
4,10/26,lm,Conoce las características de los trabalenguas y juegos de palabras.,2,lm,santillana,,"192

",,,,,,2,esp,sep,,119
4,10/26,geo,"Reconoce la distribución de las principales formas del relieve, volcanes y regiones sísmicas de México.",4,geo,santillana,,100 y 101,,,,,,4,geo,sep,,45 a 49
4,10/27,ced,"Valora que es una persona con dignidad, que ejerce sus derechos y promueve el respeto y aprecio a la identidad, la dignidad y los derechos de las demás personas.",4,ced,santillana,,132 y 133,,,,,,4,fcye,sep,,25 a 27
4,10/27,mat,"Exploración de distintos significados de la multiplicación (relación proporcional entre medidas, producto de medidas, combinatoria) y desarrollo de procedimientos para el cálculo mental o escrito.",4,mat,santillana,,56 y 57,4,mat,detectives,,13,4,mat,sep,,30 a 32
4,10/27,cn,"Valora las vacunas como aportes de la ciencia y del desarrollo técnico para prevenir enfermedades, así como de la Cartilla Nacional de Salud para dar seguimiento a su estado de salud.",4,cn,santillana,,80,,,,,,4,cn,sep,,28 a 31
4,10/27,hist,Distingue las características y reconoce los aportes de las culturas mesoamericanas y su relación con la naturaleza.,4,hist,santillana,,116 y 117,,,,,,4,hist,sep,,44 a 49
4,10/27,lm,Conoce las características de los trabalenguas y juegos de palabras.,3,esp,santillana,,334 y 335,,,,,,3,esp,sep,,206 a 209
4,10/28,ef,"Experimenta emociones y sentimientos al representar con su cuerpo situaciones e historias en retos motores y actividades de expresión, con la intención de fortalecer su imagen corporal.",4,ef,santillana,,314 y 315,,,,,,,,,,
4,10/28,geo,"Reconoce la distribución de las principales formas del relieve, volcanes y regiones sísmicas de México.",4,geo,santillana,,100 y 101,,,,,,4,geo,sep,,45 a 49
4,10/28,mat,"Exploración de distintos significados de la multiplicación (relación proporcional entre medidas, producto de medidas, combinatoria) y desarrollo de procedimientos para el cálculo mental o escrito.",4,mat,santillana,,56 y 57,4,mat,detectives,,13,4,mat,sep,,30 a 32
4,10/28,lm,Emplea rimas en la escritura de trabalenguas y juegos de palabras.,3,esp,santillana,,334 y 335,,,,,,3,esp,sep,,206 a 209
4,10/28,ing,Escucha diálogos en los que se utilizan expresiones para obtener lo que se quiere.,,,,,,,,,,,,,,,
4,10/29,vs,"Toma decisiones respecto del consumo de alimentos procesados, con base en la información de los sellos y advertencias asociada a enfermedades.",3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html,424 y 425,,,,,,,,,,
4,10/29,mat,Notación desarrollada de números naturales y decimales. Valor posicional de las cifras de un número.,4,mat,santillana,,48 y 49,4,mat,detectives,,7,4,mat,sep,,10 a 18
4,10/29,mat,Notación desarrollada de números naturales y decimales. Valor posicional de las cifras de un número.,4,mat,santillana,,48 y 49,4,mat,detectives,,7,4,mat,sep,,10 a 18
4,10/29,mat,Notación desarrollada de números naturales y decimales. Valor posicional de las cifras de un número.,4,mat,santillana,,48 y 49,4,mat,detectives,,7,4,mat,sep,,10 a 18
4,10/29,mat,Notación desarrollada de números naturales y decimales. Valor posicional de las cifras de un número.,4,mat,santillana,,48 y 49,4,mat,detectives,,7,4,mat,sep,,10 a 18
