grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
5,11/15,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60 a 63,5,mat,detectives,,10 y 11,5,mat,sep,,19 a 23
5,11/15,mat,"Identificación de rectas paralelas, secantes y perpendiculares en el plano, así como de ángulos rectos, agudos y obtusos.",5,mat,santillana,,60 a 63,5,mat,detectives,,10 y 11,5,mat,sep,,19 a 23
5,11/15,mat,Lectura de planos y mapas viales. Interpretación y diseño de trayectorias.,5,mat,santillana,,64 y 65,5,mat,detectives,,12,5,mat,sep,,24 a 28
5,11/15,mat,Lectura de planos y mapas viales. Interpretación y diseño de trayectorias.,5,mat,santillana,,64 y 65,5,mat,detectives,,12,5,mat,sep,,24 a 28
5,11/15,vs,"Diseña menús para incrementar en su refrigerio escolar el consumo de agua simple potable, frutas, verduras, cereales enteros e integrales, leguminosas y pescado, con base en una guía alimenticia.",5,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn3_t1/index.html,162,,,,,,,,,,
5,11/16,mat,Análisis de las relaciones entre unidades de tiempo.,5,mat,santillana,,68 y 69,5,mat,detectives,,14,5,mat,sep,,34 a 44
5,11/16,cn,"Describe el proceso general de reproducción en los seres humanos: fecundación, embarazo y parto, valorando los aspectos afectivos y las responsabilidades implicadas.",5,cn,santillana,,98 y 99,,,,,,5,cn,sep,,35 a 43
5,11/16,esp,Identifica la organización de las ideas en un texto expositivo.,5,esp,santillana,,40 a 42,,,,,,5,esp,sep,,44 y 45
5,11/16,hist,"Ubica la Reforma y la República Restaurada aplicando los términos década y siglo, y localiza las zonas de influencia de los liberales y conservadores.",5,hist,santillana,,136 a 138,,,,,,5,hist,sep,,61 y 62
5,11/16,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
5,11/17,geo,Reconoce la distribución de los climas en los continentes.,5,geo,santillana,,120 y 121,,,,,,5,geo,sep,,55 a 61
5,11/17,mat,Análisis de las relaciones entre unidades de tiempo.,5,mat,santillana,,68 y 69,5,mat,detectives,,14,5,mat,sep,,34 a 44
5,11/17,fcye,Dialoga acerca de la libertad como un derecho humano que contribuye a su autorrealización y desarrollo pleno.,5,fcye,santillana,,148 y 149,,,,,,5,fcye,sep,,34 a 37
5,11/17,esp,Identifica la organización de las ideas en un texto expositivo.,5,esp,santillana,,43,,,,,,5,esp,sep,,46
5,11/17,ced,Dialoga acerca de la libertad como un derecho humano que contribuye a su autorrealización y desarrollo pleno.,5,ced,santillana,,148 y 149,,,,,,5,fcye,sep,,34 a 37
5,11/18,mat,Análisis de las relaciones entre unidades de tiempo.,5,mat,santillana,,68 y 69,5,mat,detectives,,14,5,mat,sep,,34 a 44
5,11/18,hist,"Explica el pensamiento de liberales y conservadores, y sus consecuencias en la política y economía del país.",5,hist,santillana,,132 y 133,,,,,,5,hist,sep,,50 a 58
5,11/18,esp,Utiliza la información relevante de los textos que lee en la producción de los propios.,5,esp,santillana,,36 a 38,,,,,,5,esp,sep,,39 y 40
5,11/18,art,"Participa en la presentación de la pieza teatral seleccionada, frente a público.",5,art,santillana,,"334, 335, 464 y 465",,,,,,,,,,
5,11/18,ef,"Coordina sus acciones y movimientos con ritmos, secuencias y percusiones corporales en situaciones expresivas, individuales y colectivas, para actuar y desempeñarse con seguridad y confianza.",5,ef,santillana,,326 y 327,,,,,,,,,,
5,11/19,lmb,"Realiza síntesis y resúmenes de forma autónoma: integra información de fuentes orales y escritas. Selecciona, reorganiza y sintetiza las ideas centrales.",,,santillana,,,,,,,,,,,,
5,11/19,mat,Análisis de las relaciones entre unidades de tiempo.,5,mat,santillana,,68 y 69,5,mat,detectives,,14,5,mat,sep,,34 a 44
5,11/19,ing,Describe apariencia física propia.,,,,,,,,,,,,,,,
5,11/19,es,Compara las razones y sentimientos que subyacen a una situación de desacuerdo o conflicto.,,,,,,5,es,socio,,36 y 37,,,,,
5,11/19,vs,"Promueve acciones para reducir la propagación de enfermedades transmisibles, al identificar los factores de riesgo y protectores de la salud, en los entornos familiar, escolar y comunitario.",5,vs,vidasaludable,https://packgoogle-pro.s3.us-east-1.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvspat3e4-gen/index.html,154,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
