grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
3,11/15,lm,Emplea directorios para el registro y manejo de información.,3,lm,santillana,,28 y 29,,,,,,3,esp,sep,,35 y 36
3,11/15,lm,Identifica la utilidad del orden alfabético. Emplea directorios para el registro y manejo de información.,3,lm,santillana,,28 y 29,,,,,,3,esp,sep,,35 y 36
3,11/15,lm,Usa mayúsculas y abreviaturas en la escritura convencional de nombres y direcciones.,3,lm,santillana,,30 y 31,,,,,,3,esp,sep,,39
3,11/15,lm,Usa mayúsculas y abreviaturas en la escritura convencional de nombres y direcciones. Emplea directorios para el registro y manejo de información.,3,lm,santillana,,28 a 31,,,,,,3,esp,sep,,"35, 36 y 39"
3,11/15,vs,"Incorpora en su refrigerio escolar frutas, verduras, cereales enteros e integrales, leguminosas, semillas y alimentos de origen animal, con base en una guía alimentaria.",3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e1-gen/index.html,139,,,,,,,,,,
3,11/16,lm,Identifica la utilidad del orden alfabético.,3,lm,santillana,,28 y 29,,,,,,3,esp,sep,,35 y 36
3,11/16,mat,Lectura y uso del reloj para verificar estimaciones de tiempo. Comparación del tiempo con base en diversas actividades.,3,mat,santillana,,58 a 61,3,mat,detectives,,14 y 15,3,mat,sep,,25 a 35
3,11/16,fcye,"Reflexiona acerca de su capacidad para tomar decisiones libres con base en el respeto, aprecio y cuidado por la dignidad propia y de otras personas en situaciones escolares y comunitarias.",3,fcye,santillana,,126 y 127,,,,,,3,fcye,sep,,30 a 33
3,11/16,cn,"Relaciona los movimientos de su cuerpo con el funcionamiento de los sistemas nervioso, óseo y muscular.",3,cn,santillana,,84 y 85,,,,,,3,cn,sep,,21 y 22
3,11/16,ef,"Adapta sus acciones ante tareas y estímulos externos que implican cuantificar el tiempo de sus movimientos en el espacio, con el propósito de valorar lo que es capaz de hacer y canalizar el gusto por la actividad física.",3,ef,santillana,,156 y 157,,,,,,,,,,
3,11/17,mat,Lectura y uso del reloj para verificar estimaciones de tiempo. Comparación del tiempo con base en diversas actividades.,3,mat,santillana,,58 a 61,3,mat,detectives,,14 y 15,3,mat,sep,,25 a 35
3,11/17,art,"Clasifica obras artísticas de formato bidimensional a partir de su origen, época o estilo.",3,art,santillana,,"16, 17, 158 y 159",,,,,,,,,,
3,11/17,cn,"Relaciona los movimientos de su cuerpo con el funcionamiento de los sistemas nervioso, óseo y muscular.",3,cn,santillana,,82 y 83,,,,,,3,cn,sep,,18 a 20
3,11/17,lm,Separa palabras de manera convencional.,,,,,,,,,,,,,,,
3,11/17,ced,"Reflexiona acerca de su capacidad para tomar decisiones libres con base en el respeto, aprecio y cuidado de la dignidad propia y de otras personas en situaciones escolares y comunitarias.",3,ced,santillana,,126 y 127,,,,,,3,fcye,sep,,34 y 35
3,11/18,cn,Explica las medidas de higiene de los órganos sexuales externos para evitar infecciones.,3,cn,santillana,,94 y 95,,,,,,,,,,
3,11/18,mat,Lectura y uso del reloj para verificar estimaciones de tiempo. Comparación del tiempo con base en diversas actividades.,3,mat,santillana,,58 a 61,3,mat,detectives,,14 y 15,3,mat,sep,,25 a 35
3,11/18,lmb,Investiga y comparte información sobre su familia.,,,,,,,,,,,,,,,
3,11/18,art,"Clasifica obras artísticas de formato bidimensional a partir de su origen, época o estilo.",3,art,santillana,,"16, 17, 158 y 159",,,,,,,,,,
3,11/18,ef,"Adapta sus acciones ante tareas y estímulos externos que implican cuantificar el tiempo de sus movimientos en el espacio, con el propósito de valorar lo que es capaz de hacer y canalizar el gusto por la actividad física.",3,ef,santillana,,304 y 305,,,,,,,,,,
3,11/19,mat,Lectura y uso del reloj para verificar estimaciones de tiempo. Comparación del tiempo con base en diversas actividades.,3,mat,santillana,,58 a 61,3,mat,detectives,,14 y 15,3,mat,sep,,25 a 35
3,11/19,ing,Intercambia expresiones para obtener lo que se necesita.,,,,,,,,,,,,,,,
3,11/19,art,"Clasifica obras artísticas de formato bidimensional a partir de su origen, época o estilo.",3,art,santillana,,"16, 17, 158 y 159",,,,,,,,,,
3,11/19,es,Explica sus ideas y escucha con atención los puntos de vista de los demás en situaciones de desacuerdo o conflicto.,,,,,,3,es,socio,,42 y 43,,,,,
3,11/19,vs,Relaciona los hábitos de higiene y limpieza con las condiciones del entorno que inciden en la prevención de enfermedades comunes en el lugar donde vive.,3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspbt2e4-gen/index.html,280 y 281,,,,,,,,,,
