grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
6,11/15,vs,"Diseña menús para incrementar en su refrigerio escolar el consumo de agua simple potable, frutas, verduras, cereales enteros e integrales, leguminosas y pescado, con base en una guía alimenticia.",6,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/cgn2_t1/index.html,304,,,,,,,,,,
6,11/15,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,11/15,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,11/15,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,11/15,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,11/16,ef,"Fortalece su imagen corporal al afrontar desafíos en el juego, la expresión corporal y la iniciación deportiva, para manifestar un mayor control de su motricidad.",6,ef,santillana,,320 y 321,,,,,,,,,,
6,11/16,mat,Elección de un código para comunicar la ubicación de objetos en una cuadrícula. Establecimiento de códigos comunes para ubicar objetos.,6,mat,santillana,,62 y 63,6,mat,detectives,,15,6,mat,sep,,26 a 30
6,11/16,cn,"Argumenta en favor de la detección oportuna de cáncer de mama y las conductas sexuales responsables que inciden en su salud: prevención de embarazos e infecciones de transmisión sexual (ITS), como el virus de inmunodeficiencia humana (VIH).",6,cn,santillana,,92 y 93,,,,,,6,cn,sep,,36 a 43
6,11/16,esp,Conoce la función y estructura de los guiones de radio. Emplea el lenguaje de acuerdo con el tipo de audiencia.,6,esp,santillana,,38 y 39,,,,,,6,esp,sep,,33 a 38
6,11/16,hist,Reconoce la importancia del mar Mediterráneo en el desarrollo del comercio y la difusión de la cultura.,6,hist,santillana,,126 a 129,,,,,,6,hist,sep,,42 a 48
6,11/17,ced,"Valora el ejercicio de libertades de expresión, conciencia, asociación y respeta el ejercicio de las libertades de otras personas, en el marco del respeto a la dignidad y los derechos humanos.",6,ced,santillana,,138 a 141,,,,,,6,fcye,sep,,48 y 49
6,11/17,art,"Utiliza la forma, el color y los sonidos para construir la historia de un personaje.",6,art,santillana,,"16, 17, 168 y 169",,,,,,,,,,
6,11/17,fcye,"Valora el ejercicio de libertades de expresión, conciencia, asociación y respeta el ejercicio de las libertades de otras personas, en el marco del respeto a la dignidad y los derechos humanos.",6,fcye,santillana,,138 a 141,,,,,,6,fcye,sep,,48 y 49
