grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
6,11/08,vs,"Diseña menús para incrementar en su refrigerio escolar el consumo de agua simple potable, frutas, verduras, cereales enteros e integrales, leguminosas y pescado, con base en una guía alimenticia.",6,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim2/rdvspat2e1-gen/index.html,146 y 147,,,,,,,,,,
6,11/08,es,Argumenta y prioriza cuáles son las acciones que favorecen el bienestar hacia los demás y en las que está dispuesto a participar.,,,,,,6,es,socio,,20 y 21,,,,,
6,11/08,esp,Identifica los elementos y la organización de un programa de radio.,6,esp,santillana,,38 y 39,,,,,,6,esp,sep,,33 a 38
6,11/08,hist,"Explica la importancia de los ríos en el desarrollo de las civilizaciones agrícolas, sus rasgos comunes y diferencias.",6,hist,santillana,,122 a 125,,,,,,6,hist,sep,,40 y 41
6,11/08,geo,"Analiza tendencias y retos del crecimiento, de la composición y la distribución de la población mundial.",6,geo,santillana,,250 y 251,,,,,,6,geo,sep,,79 a 85
6,11/09,ef,"Fortalece su imagen corporal al afrontar desafíos en el juego, la expresión corporal y la iniciación deportiva, para manifestar un mayor control de su motricidad.",6,ef,santillana,,320 y 321,,,,,,,,,,
6,11/09,mat,"Identificación de los ejes de simetría de una figura (poligonal o no) y figuras simétricas entre sí, mediante diferentes recursos.",6,mat,santillana,,60 y 61,6,mat,detectives,,13 y 14,6,mat,sep,, 22 a 25
6,11/09,cn,Describe cómo los progenitores heredan características a sus descendientes en el proceso de la reproducción.,6,cn,santillana,,90 y 91,,,,,,6,cn,sep,,34 y 35
6,11/09,esp,Identifica los elementos y la organización de un programa de radio.,6,esp,santillana,,38 y 39,,,,,,6,esp,sep,,33 a 38
6,11/09,hist,"Explica la importancia de los ríos en el desarrollo de las civilizaciones agrícolas, sus rasgos comunes y diferencias.",6,hist,santillana,,122 a 125,,,,,,6,hist,sep,,40 y 41
6,11/10,ced,"Valora el ejercicio de libertades de expresión, conciencia, asociación y respeta el ejercicio de las libertades de otras personas, en el marco del respeto a la dignidad y los derechos humanos.",6,ced,santillana,,138 y 139,,,,,,6,fcye,sep,,32 a 43
6,11/10,art,"Utiliza la forma, el color y los sonidos para construir la historia de un personaje.",6,art,santillana,,"16 y 17, 168 y 169",,,,,,,,,,
6,11/10,fcye,"Valora el ejercicio de libertades de expresión, conciencia, asociación y respeta el ejercicio de las libertades de otras personas, en el marco del respeto a la dignidad y los derechos humanos.",6,fcye,santillana,,138 y 139,,,,,,6,fcye,sep,,32 y 33
6,11/10,mat,Elección de un código para comunicar la ubicación de objetos en una cuadrícula. Establecimiento de códigos comunes para ubicar objetos.,6,mat,santillana,,62 y 63,6,mat,detectives,,15,6,mat,sep,,26 a 30
6,11/10,esp,Conoce la función y estructura de los guiones de radio. Emplea el lenguaje de acuerdo con el tipo de audiencia.,6,esp,santillana,,38 y 39,,,,,,6,esp,sep,,33 a 38
6,11/11,ef,"Fortalece su imagen corporal al afrontar desafíos en el juego, la expresión corporal y la iniciación deportiva, para manifestar un mayor control de su motricidad.",6,ef,santillana,,320 y 321,,,,,,,,,,
6,11/11,mat,Elección de un código para comunicar la ubicación de objetos en una cuadrícula. Establecimiento de códigos comunes para ubicar objetos.,6,mat,santillana,,62 y 63,6,mat,detectives,,15,6,mat,sep,,26 a 30
6,11/11,geo,"Analiza tendencias y retos del crecimiento, de la composición y la distribución de la población mundial.",6,geo,santillana,,250 y 251,,,,,,6,geo,sep,,79 a 85
6,11/11,lmb,"Inventa un texto narrativo inspirándose en la estructura global de un texto conocido. Cambia personajes, contexto, ambiente, secuencia de episodios, entre otras posibilidades.",,,,,,,,,,,,,,,
6,11/11,cn,Describe cómo los progenitores heredan características a sus descendientes en el proceso de la reproducción.,6,cn,santillana,,90 y 91,,,,,,6,cn,sep,,34 y 35
6,11/12,ef,"Fortalece su imagen corporal al afrontar desafíos en el juego, la expresión corporal y la iniciación deportiva, para manifestar un mayor control de su motricidad.",6,ef,santillana,,320 y 321,,,,,,,,,,
6,11/12,mat,"Lectura, escritura y comparación de números naturales, fraccionarios y decimales. Explicitación de los criterios de comparación.",6,mat,santillana,,52 a 55,6,mat,detectives,,7 a 9,6,mat,sep,,10 a 16
6,11/12,mat,"Lectura, escritura y comparación de números naturales, fraccionarios y decimales. Explicitación de los criterios de comparación.",6,mat,santillana,,52 a 55,6,mat,detectives,,7 a 9,6,mat,sep,,10 a 16
6,11/12,mat,"Resolución de problemas aditivos con números naturales, decimales y fraccionarios, variando la estructura de los problemas. Estudio o reafirmación de los algoritmos convencionales.",6,mat,santillana,,56 y 57,6,mat,detectives,,10 y 11,6,mat,sep,,17 a 19
6,11/12,mat,"Resolución de problemas aditivos con números naturales, decimales y fraccionarios, variando la estructura de los problemas. Estudio o reafirmación de los algoritmos convencionales.",6,mat,santillana,,56 y 57,6,mat,detectives,,10 y 11,6,mat,sep,,17 a 19
