grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
4,09/13,vs,Valora sus logros para afrontar nuevos retos en el juego y la actividad física.,2,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn1_t1/index.html,130,,,,,,,,,,
4,09/13,fcye,"Reconoce que es una persona valiosa, que merece cuidados y trato digno, al igual que las demás personas.",4,fcye,santillana,,132 y 133,,,,,,4,fcye,sep,,25 a  27
4,09/13,es,"Describe qué son los sentimientos y cómo se manifiestan, así como su importancia en la vida cotidiana para lograr el bienestar emocional.",,,,,,4,es,socio,,28 y 29,,,,,
4,09/13,cn,"Identifica que una mezcla está formada por diversos materiales en diferentes proporciones. Explica que las propiedades de las mezclas, como color y sabor, cambian al modificar la proporción de los materiales que la conforman. Relaciona los cambios de estado físico (líquido, sólido y gas) de los materiales con la variación de la temperatura. Reconoce la importancia del uso de los termómetros en diversas actividades.",3,cn,santillana,,238 a 241,,,,,,3,cn,sep,,86 a 91
4,09/13,art,"Propone combinaciones de patrones y secuencias con objetos, formas y colores.",3,art,santillana,,448 y 449,,,,,,,,,,
4,09/14,ef,"Combina sus habilidades motrices al diversificar la ejecución de los patrones básicos de movimiento en situaciones de juego, con el fin de otorgarle intención a sus movimientos.",2,ef,santillana,,290 y 291,,,,,,,,,,
4,09/14,hist,Reconoce que el idioma y algunas costumbres son legado de la época virreinal.,4,hist,santillana,,408 y 409,,,,,,4,hist,sep,,142 y 143
4,09/14,mat,Desarrolla y ejercita un algoritmo para la división entre un dígito. Usa el repertorio multiplicativo para resolver divisiones (cuántas veces está contenido el divisor en el dividendo).,3,mat,santillana,,348 y 349,3,mat,detectives,,49,3,mat,sep,,122 a 125
4,09/14,lm,Identifica la relevancia de los datos requeridos en función de las instrucciones para su llenado.,4,esp,santillana,,28 y 29,,,,,,4,esp,sep,,37 a 39
4,09/14,geo,Reconoce y valora la importancia de la Geografía.,,,,,,,,,,,,,,,
4,09/15,ced,"Reconoce que es una persona valiosa, que merece cuidados y trato digno, al igual que las demás personas.",4,ced,santillana,,128 y 129,,,,,,4,fcye,sep,,16 y 17
4,09/15,mat,Resuelve problemas en los cuales es necesario extraer información explícita de diversos portadores.,4,mat,santillana,,66 y 67,4,mat,detectives,,18,4,mat,sep,,43 a 46
4,09/15,cn,"Identifica el aprovechamiento del sonido en diversos aparatos para satisfacer necesidades. Describe que el sonido tiene tono, timbre e intensidad. Identifica el aprovechamiento de los imanes en situaciones y aparatos de uso cotidiano. Describe los efectos de la atracción y repulsión de los imanes sobre otros objetos, a partir de sus interacciones. Explica la secuencia del día y la noche y las fases lunares considerando los movimientos de la Tierra y de la Luna.",3,cn,santillana,,376 a 383,,,,,,3,cn,sep,,114 a 125 y 132 a 135
4,09/15,hist,"Ordena cronológicamente los principales acontecimientos de la guerra de Independencia aplicando los términos año, década y siglo, y localiza las regiones donde se realizaron las campañas militares.",4,hist,santillana,,411,,,,,,4,hist,sep,,156 a 159
4,09/15,lm,Identifica la utilidad de los diferentes tipos de información que proveen las etiquetas y los envases comerciales.,3,lm,santillana,,190 y 191,,,,,,3,esp,sep,,136
4,09/17,vs,"Toma decisiones respecto del consumo de alimentos procesados, con base en la información de los sellos y advertencias.",3,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn2_t1/index.html,424 y 425,,,,,,,,,,
4,09/17,mat,"Resuelve multiplicaciones cuyo producto sea hasta del orden de las centenas mediante diversos procedimientos (como suma de multiplicaciones parciales, multiplicaciones por 10, 20, 30, etcétera).",3,mat,santillana,,70 y 71,3,mat,detectives,,20 y 21,3,mat,sep,,47 a 50
4,09/17,lmb,Recrea un texto narrativo.,4,espb,santillana,,42 y 43,,,,,,4,esp,sep,,71 a 73
4,09/17,art,"Propone combinaciones de patrones y secuencias con objetos, formas y colores.",3,art,santillana,,448 y 449,,,,,,,,,,
4,09/17,es,"Describe, de forma general, qué es la regulación emocional y algunas maneras para llevarla a cabo con el propósito de lograr una mejor toma de decisiones que impacten de forma positiva en el logro del bienestar personal y colectivo.",,,,,,4,es,socio,,14 y 15,,,,,
