grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
6,10/18,vs,Argumenta acerca de la influencia de la publicidad en sus hábitos de consumo de alimentos procesados y bebidas azucaradas.,6,vs,vidasaludable,"https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim3/rdvsset3e1-gen/index.html
",299,,,,,,,,,,
6,10/18,es,Evoca emociones positivas para contrarrestar los estados aflictivos y alcanzar el bienestar.,,,,,,6,es,socio,,16 y 17,,,,,
6,10/18,esp,Identifica la diferencia en el uso de la voz narrativa en la biografía y la autobiografía.,6,esp,santillana,,26 y 27,,,,,,6,esp,sep,,"23, 24, 27 y 28"
6,10/18,hist,"Explica la importancia de los ríos en el desarrollo de las civilizaciones agrícolas, sus rasgos comunes y diferencias.",6,hist,santillana,,122 a 125,,,,,,6,hist,sep,,40 y 41
6,10/18,geo,Valora la riqueza y variedad de vida en los países.,6,geo,santillana,,108 y 109,,,,,,6,geo,sep,,53 a 55
6,10/19,ef,"Adapta sus capacidades, habilidades y destrezas motrices al organizar y participar en diversas actividades recreativas, con la finalidad de consolidar su disponibilidad corporal.",6,ef,santillana,,166 y 167,,,,,,,,,,
6,10/19,mat,"Resolución de problemas aditivos con números naturales, decimales y fraccionarios, variando la estructura de los problemas. Estudio o reafirmación de los algoritmos convencionales.",6,mat,santillana,,56,6,mat,detectives,,10,6,mat,sep,,17 y 18
6,10/19,cn,Explica el funcionamiento integral del cuerpo humano a partir de las interacciones entre diferentes sistemas.,6,cn,santillana,,82 y 83,,,,,,6,cn,sep,,11 a 17
6,10/19,esp,Usa oraciones compuestas al escribir.,6,esp,santillana,,28 a 31,,,,,,6,esp,sep,,25
6,10/19,hist,"Explica la importancia de los ríos en el desarrollo de las civilizaciones agrícolas, sus rasgos comunes y diferencias.",6,hist,santillana,,122 a 125,,,,,,6,hist,sep,,40 y 41
6,10/20,ced,"Exige respeto a sus derechos humanos, es sensible, se solidariza y realiza acciones a favor de personas o grupos que viven situaciones de vulnerabilidad.",6,ced,santillana,,136 y 137,,,,,,6,fcye,sep,,20 a 26
6,10/20,art,"Reconoce que la combinación de cuerpo, espacio y tiempo puede utilizarse para trabajar los conceptos de realidad y ficción en el teatro.",6,art,santillana,,"16, 17, 168 y 169",,,,,,,,,,
6,10/20,fcye,"Exige respeto a sus derechos humanos, es sensible, se solidariza y realiza acciones a favor de personas o grupos que viven situaciones de vulnerabilidad.",6,fcye,santillana,,136 y 137,,,,,,6,fcye,sep,,27 a 31
6,10/20,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,10/20,esp,Usa oraciones compuestas al escribir. Emplea recursos literarios en la escritura de biografías y autobiografías.,6,esp,santillana,,32 a 35,,,,,,6,esp,sep,,"26, 27 y 29"
6,10/21,ef,"Adapta sus capacidades, habilidades y destrezas motrices al organizar y participar en diversas actividades recreativas, con la finalidad de consolidar su disponibilidad corporal. ",6,ef,santillana,,166 y 167,,,,,,,,,,
6,10/21,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,10/21,geo,Reconoce los recursos naturales para la vida cotidiana y productiva de los seres humanos.,6,geo,santillana,,110 y 111,,,,,,6,geo,sep,,59 a 63
6,10/21,lmb,"Escucha, recopila y registra textos con esquema rítmico o lenguaje poético de su tradición o gustos según grupo de edad. Busca y comparte información de fuentes escritas sobre el arte de composición de estos textos y su tradición literaria, a partir de sus efectos lúdico y poético.",,,,,,,,,,,,,,,
6,10/21,cn,Explica el funcionamiento integral del cuerpo humano a partir de las interacciones entre diferentes sistemas.,6,cn,santillana,,84 y 85,,,,,,6,cn,sep,,22 a 24
6,10/22,vs,"Promueve acciones para reducir la propagación de enfermedades transmisibles al identificar los factores de riesgo y protectores en los entornos familiar, escolar y comunitario.",6,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn3_t1/index.html,142 y 143,,,,,,,,,,
6,10/22,ing,Escucha y explora descripciones de la apariencia física de personas conocidas.,,,,,,,,,,,,,,,
6,10/22,mat,Resolución de problemas multiplicativos con valores fraccionarios o decimales mediante procedimientos no formales.,6,mat,santillana,,58 y 59,6,mat,detectives,,12,6,mat,sep,,20 y 21
6,10/22,art,"Reconoce que la combinación de cuerpo, espacio y tiempo puede utilizarse para trabajar los conceptos de realidad y ficción en el teatro.",6,art,santillana,,174 y 175,,,,,,,,,,
6,10/22,es,Evalúa y soluciona situaciones de su entorno inmediato con base en su experiencia y creatividad.,,,,,,6,es,socio,,32 y 33,,,,,
