grade,date,subject,learn,book1_grade,book1_subject,book1_serie,book1_interactive,book1_pages,book2_grade,book2_subject,book2_serie,book2_interactive,book2_pages,book3_grade,book3_subject,book3_serie,book3_interactive,book3_pages
4,11/22,vs,"Toma decisiones respecto del consumo de alimentos procesados, con base a la información de los sellos y advertencias.",4,vs,vidasaludable,https://packgoogle-pro.s3.amazonaws.com/vida-saludable/laguia_recursos/trim1/bgn2_t1/index.html,432 y 433,,,,,,,,,,
4,11/22,fcye,Reflexiona y dialoga acerca de los márgenes y límites de acciones en decisiones que impliquen un dilema.,4,fcye,santillana,,134 a 137,,,,,,4,fcye,sep,,28 a 37
4,11/22,es,"Analiza la existencia de los estereotipos y prejuicios, propios y ajenos asociados a características de la diversidad humana y sociocultural.",,,,,,4,es,socio,,58 y 59,,,,,
4,11/22,cn,"Describe las funciones de los aparatos sexuales de la mujer y del hombre, y practica hábitos de higiene para su cuidado.",4,cn,santillana,,82 y 83,,,,,,4,cn,sep,,13 y 14
4,11/22,art,Compara piezas artísticas tridimensionales e identifica sus características.,4,art,santillana,,"16 y 17, 164 y 165",,,,,,,,,,
4,11/23,ef,"Experimenta emociones y sentimientos al representar con su cuerpo situaciones e historias en retos motores y actividades de expresión, con la intención de fortalecer su imagen corporal.",4,ef,santillana,,162 y 163,,,,,,,,,,
4,11/23,hist,Distingue las características y reconoce los aportes de las culturas mesoamericanas y su relación con la naturaleza.,4,hist,santillana,,124 a 127,,,,,,4,hist,sep,,60 a 69
4,11/23,mat,Resolución de problemas vinculados al uso del reloj y del calendario.,4,mat,santillana,,64 y 65,4,mat,detectives,,17,4,mat,sep,,40 y 41
4,11/23,lm,Interpreta croquis para identificar trayectos.,,,,,,,,,,,,,,,
4,11/23,geo,"Distingue relaciones de los climas con la vegetación y la fauna silvestre, y la importancia de la biodiversidad en México.",4,geo,santillana,,106 y 107,,,,,,4,geo,sep,,61 a 68
4,11/24,ced,Reflexiona y dialoga acerca de los márgenes y límites de acciones en decisiones que impliquen un dilema.,4,ced,santillana,,134 a 137,,,,,,4,fcye,sep,,38 a 47
4,11/24,mat,Resolución de problemas vinculados al uso del reloj y del calendario.,4,mat,santillana,,64 y 65,4,mat,detectives,,17,4,mat,sep,,40 y 41
4,11/24,cn,"Explica la reproducción de las plantas por semillas, tallos, hojas, raíces y su interacción con otros seres vivos y el medio natural.",4,cn,santillana,,86 y 87,,,,,,4,cn,sep,,43 a 50
